Neighborhood,Pharmacy,Cluster Labels,Postal Code,Borough,Latitude,Longitude
"Queen's Park, Ontario Provincial Government",0.0,0,M7A,Downtown Toronto,43.6623015,-79.3894938
"Regent Park, Harbourfront",0.0,0,M5A,Downtown Toronto,43.6542599,-79.3606359
"Richmond, Adelaide, King",0.0,0,M5H,Downtown Toronto,43.65057120000001,-79.3845675
Rosedale,0.0,0,M4W,Downtown Toronto,43.6795626,-79.37752940000001
Roselawn,0.0,0,M5N,Central Toronto,43.7116948,-79.41693559999999
"Rouge Hill, Port Union, Highland Creek",0.0,0,M1C,Scarborough,43.7845351,-79.16049709999999
"Runnymede, Swansea",0.0,0,M6S,West Toronto,43.6515706,-79.4844499
"Runnymede, The Junction North",0.0,0,M6N,York,43.67318529999999,-79.48726190000001
Scarborough Village,0.0,0,M1J,Scarborough,43.7447342,-79.23947609999999
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",0.1,1,M9V,Etobicoke,43.739416399999996,-79.5884369
St. James Town,0.011904761904761904,4,M5C,Downtown Toronto,43.6514939,-79.3754179
"St. James Town, Cabbagetown",0.02127659574468085,4,M4X,Downtown Toronto,43.667967,-79.3676753
"Steeles West, L'Amoreaux West",0.06666666666666667,5,M1W,Scarborough,43.799525200000005,-79.3183887
Stn A PO Boxes,0.020618556701030927,4,M5W,Downtown Toronto,43.6464352,-79.37484599999999
Studio District,0.0,0,M4M,East Toronto,43.6595255,-79.340923
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",0.0,0,M4V,Central Toronto,43.68641229999999,-79.4000493
"The Annex, North Midtown, Yorkville",0.047619047619047616,3,M5R,Central Toronto,43.6727097,-79.40567840000001
The Beaches,0.0,0,M4E,East Toronto,43.67635739999999,-79.2930312
"The Danforth West, Riverdale",0.0,0,M4K,East Toronto,43.6795571,-79.352188
"The Kingsway, Montgomery Road, Old Mill North",0.0,0,M8X,Etobicoke,43.653653600000005,-79.5069436
Thorncliffe Park,0.05,3,M4H,East York,43.7053689,-79.34937190000001
"Toronto Dominion Centre, Design Exchange",0.0,0,M5K,Downtown Toronto,43.6471768,-79.38157640000001
"University of Toronto, Harbord",0.0,0,M5S,Downtown Toronto,43.6626956,-79.4000493
Victoria Village,0.0,0,M4A,North York,43.725882299999995,-79.31557159999998
"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",0.0,0,M9B,Etobicoke,43.6509432,-79.55472440000001
Westmount,0.0,0,M9P,Etobicoke,43.696319,-79.53224240000002
Weston,0.0,0,M9N,York,43.706876,-79.51818840000001
"Wexford, Maryvale",0.0,0,M1R,Scarborough,43.750071500000004,-79.2958491
"Willowdale, Willowdale East",0.0,0,M2N,North York,43.7701199,-79.40849279999999
"Willowdale, Willowdale West",0.16666666666666666,2,M2R,North York,43.7827364,-79.4422593
Woburn,0.0,0,M1G,Scarborough,43.7709921,-79.21691740000001
Woodbine Heights,0.14285714285714285,2,M4C,East York,43.695343900000005,-79.3183887
York Mills West,0.0,0,M2P,North York,43.752758299999996,-79.4000493
